#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
7472549983894,7472551852761,7472553955551,7472586333804,0,224
7472549983894,7472553954659,7472554144004,7472586333804,1,224
7472583273594,7472585418470,7472587214785,7472603150908,0,225
7472583273594,7472587214073,7472587403127,7472603150908,1,225
7472616564094,7472618974339,7472620940032,7472636695576,0,226
7472616564094,7472620939030,7472621123405,7472636695576,1,226
7472649903394,7472651985148,7472653799056,7472670147752,0,227
7472649903394,7472653798355,7472653978252,7472670147752,1,227
7472683141694,7472685020944,7472686757797,7472703595690,0,228
7472683141694,7472686756926,7472686937244,7472703595690,1,228
7472716431894,7472718462149,7472720287097,7472736957095,0,229
7472716431894,7472720286166,7472720468688,7472736957095,1,229
7472749721594,7472751578585,7472753655065,7472770378503,0,230
7472749721594,7472753654184,7472753874717,7472770378503,1,230
7472783010494,7472785478900,7472787362519,7472820375953,0,231
7472783010494,7472787359383,7472787549830,7472820375953,1,231
7472816303294,7472818466055,7472820217987,7472837015032,0,232
7472816303294,7472820216945,7472820409786,7472837015032,1,232
7472849588394,7472851788728,7472853550107,7472870344759,0,233
7472849588394,7472853549186,7472853725486,7472870344759,1,233
7472882879694,7472885079541,7472886824470,7472903661150,0,234
7472882879694,7472886823648,7472887006120,7472903661150,1,234
7472916167694,7472918306304,7472920105024,7472937068762,0,235
7472916167694,7472920104202,7472920321950,7472937068762,1,235
7472949459594,7472951437779,7472953236098,7472970334127,0,236
7472949459594,7472953235216,7472953410284,7472970334127,1,236
7472982747694,7472985187552,7472986963569,7473003679874,0,237
7472982747694,7472986962748,7472987148486,7473003679874,1,237
7473016036994,7473018252663,7473020120281,7473037024878,0,238
7473016036994,7473020119320,7473020300599,7473037024878,1,238
7473049330394,7473051415496,7473053208024,7473070315041,0,239
7473049330394,7473053206972,7473053386779,7473070315041,1,239
7473082615294,7473084738350,7473086559872,7473103665265,0,240
7473082615294,7473086558559,7473086737204,7473103665265,1,240
7473115904994,7473118052396,7473119910567,7473185492471,0,241
7473115904994,7473119909345,7473120106234,7473185492471,1,241
7473149200694,7473159027114,7473165568287,7473202190301,0,242
7473149200694,7473165565753,7473166163903,7473202190301,1,242
7473182483094,7473186133452,7473189485561,7473219154009,0,243
7473182483094,7473189484319,7473189820298,7473219154009,1,243
7473215771994,7473218121575,7473220388361,7473235916460,0,244
7473215771994,7473220387169,7473220618222,7473235916460,1,244
7473249069694,7473264347499,7473272545056,7473318520791,0,245
